quarter,n_alive,n_with_target_h4,n_dropped_delisted,n_dropped_data_gap
2015Q1,46,35,9,2
2015Q2,47,36,10,1
2015Q3,44,35,8,1
2015Q4,43,35,7,1
2016Q1,42,32,9,1
2016Q2,42,32,9,1
2016Q3,37,33,4,0
2016Q4,36,33,3,0
2017Q1,36,33,3,0
2017Q2,33,29,3,1
2017Q3,25,21,4,0
2017Q4,20,18,2,0
2018Q1,15,13,2,0
2018Q2,18,15,2,1
2018Q3,26,23,3,0
2018Q4,29,26,3,0
2019Q1,31,28,1,2
2019Q2,31,28,3,0
2019Q3,31,28,3,0
2019Q4,30,28,2,0
2020Q1,31,28,2,1
2020Q2,31,28,3,0
2020Q3,31,27,4,0
2020Q4,29,27,2,0
2021Q1,31,28,3,0
2021Q2,31,28,3,0
2021Q3,31,28,3,0
2021Q4,30,28,2,0
2022Q1,30,28,2,0
2022Q2,29,28,1,0
2022Q3,29,28,1,0
2022Q4,28,28,0,0
