ticker,model,family,n_states,mus,dispersion_r,transmat,expected_durations_q,log_likelihood,n_params,bic,n_obs,em_converged,restarts_at_best_logl,restart_logl_spread,data_note
NVDA,nb2,nb,2,33.9 | 133.9,4.804,0.883 | 0.117 | 0.088 | 0.912,8.5 | 11.4,-385.43,6,796.9,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
NVDA,nb3,nb,3,29.8 | 80.1 | 167.3,8.547,0.822 | 0.178 | 0.000 | 0.103 | 0.716 | 0.181 | 0.121 | 0.000 | 0.879,5.6 | 3.5 | 8.3,-376.75,12,805.5,76,True,6/20,0.785,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
NVDA,po2,poisson,2,38.6 | 153.6,,0.823 | 0.177 | 0.235 | 0.765,5.6 | 4.3,-691.39,5,1404.4,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
AMD,nb2,nb,2,59.7 | 107.5,5.981,0.984 | 0.016 | 0.000 | 1.000,62.5 | 373617.9,-360.57,6,747.1,76,True,14/20,4.353,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
AMD,nb3,nb,3,40.6 | 61.5 | 110.0,19.176,0.667 | 0.000 | 0.333 | 0.000 | 0.956 | 0.044 | 0.444 | 0.000 | 0.556,3.0 | 22.8 | 2.3,-352.58,12,757.1,76,True,4/20,12.125,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
AMD,po2,poisson,2,48.8 | 112.1,,0.737 | 0.263 | 0.578 | 0.422,3.8 | 1.7,-464.65,5,951.0,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MRVL,nb2,nb,2,66.5 | 173.0,17.117,0.976 | 0.024 | 0.031 | 0.969,41.8 | 32.7,-362.59,6,751.2,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MRVL,nb3,nb,3,64.3 | 142.1 | 229.4,30.787,0.974 | 0.026 | 0.000 | 0.040 | 0.916 | 0.044 | 0.000 | 0.106 | 0.894,38.9 | 11.9 | 9.5,-351.57,12,755.1,76,True,2/20,2.082,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MRVL,po2,poisson,2,66.3 | 173.9,,0.958 | 0.042 | 0.054 | 0.946,23.9 | 18.6,-539.09,5,1099.8,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MU,nb2,nb,2,219.1 | 520.5,15.117,0.961 | 0.039 | 0.083 | 0.917,25.3 | 12.1,-451.55,6,929.1,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MU,nb3,nb,3,211.2 | 332.0 | 614.7,31.193,0.941 | 0.059 | 0.000 | 0.195 | 0.462 | 0.343 | 0.000 | 0.238 | 0.762,17.0 | 1.9 | 4.2,-440.82,12,933.6,76,True,19/20,1.848,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
MU,po2,poisson,2,224.4 | 569.2,,0.885 | 0.115 | 0.218 | 0.782,8.7 | 4.6,-999.88,5,2021.4,76,True,20/20,0.0,modeled 2005Q1..2023Q4 (76 quarters); incomplete tail from 2024Q1 cut (18mo secrecy artifact)
