section,competitor,target,metric,mean,nw_t,n_quarters,posthoc
diag,size,t1_h4,IC,-0.025906814004304706,-0.5090815911432556,32,"POST-HOC robustness appendix (NOT pre-registered): size-confound check for the A patent channel. No new model fit — reuses the pre-registered expanding_regime_probs.csv cache. Size = log(revenue, as-filed), same knowable_at/point-in-time rule as the baseline features. Calibrates the Discussion's reading of the A_oracle negative IC ONLY; does not alter any pre-registered result."
diag,size,t1_h8,IC,0.04454014717523439,0.8075436791091583,32,
diag,"corr(A_orac,size)",—,rho,0.15278559094251343,3.475807798055977,32,
diag,"corr(A_feas,size)",—,rho,0.12165738291261728,3.130179174896067,32,
tier1_raw,A_orac,t1_h4,IC,-0.07197415463194803,-2.5841073693506367,32,
tier1_resid_size,A_orac,t1_h4,IC,-0.08381569108088972,-3.0248290580189656,32,
tier1_raw,A_orac,t1_h8,IC,-0.06533910899124837,-1.8674204982988274,32,
tier1_resid_size,A_orac,t1_h8,IC,-0.06461250075103125,-1.9434421370103163,32,
tier1_raw,A_feas,t1_h4,IC,-0.018256465098381764,-0.5328582118047246,32,
tier1_resid_size,A_feas,t1_h4,IC,-0.015555662161896805,-0.4226712024306148,32,
tier1_raw,A_feas,t1_h8,IC,-0.05405426263435856,-1.3793562430662616,32,
tier1_resid_size,A_feas,t1_h8,IC,-0.06461731127296194,-1.4431435450400483,32,
tier2,F0,t1_h4,IC,-0.001549912844668099,-0.02759851152516082,32,
tier2,F0s,t1_h4,IC,0.016475489504198644,0.3621177099995399,32,
tier2,F0s+A_feas,t1_h4,IC,0.01912395761803236,0.41221397282533245,32,
tier2,F0s+A_orac,t1_h4,IC,-0.007820357963788018,-0.15423644778393886,32,
tier2_marginal,F0s+A_feas - F0s,t1_h4,dIC,0.0026484681138337126,0.3387059319103325,32,
tier2_marginal,F0s+A_orac - F0s,t1_h4,dIC,-0.024295847467986666,-2.324035246167541,32,
tier2_marginal,F0s - F0,t1_h4,dIC,0.018025402348866737,0.2401673011380061,32,
tier2,F0,t1_h8,IC,0.14163503480113793,3.0793505271937893,32,
tier2,F0s,t1_h8,IC,0.059110257256391865,1.4345695701819925,32,
tier2,F0s+A_feas,t1_h8,IC,0.07605353944632276,2.270201594558119,32,
tier2,F0s+A_orac,t1_h8,IC,0.047137184711436055,1.1427756839158145,32,
tier2_marginal,F0s+A_feas - F0s,t1_h8,dIC,0.01694328218993088,0.7481585635666907,32,
tier2_marginal,F0s+A_orac - F0s,t1_h8,dIC,-0.011973072544955821,-1.5693494299955362,32,
tier2_marginal,F0s - F0,t1_h8,dIC,-0.08252477754474606,-1.811237347096091,32,
